2020-08-15 11:25:00 status half-installed libopenjp2-7:armhf 2.3.0-2+deb10u1
2020-08-15 11:25:01 status unpacked libopenjp2-7:armhf 2.3.0-2+deb10u1
2020-08-15 11:25:01 install libopus0:armhf <none> 1.3-1
2020-08-15 11:25:01 status half-installed libopus0:armhf 1.3-1
2020-08-15 11:25:01 status unpacked libopus0:armhf 1.3-1
2020-08-15 11:25:02 install libgdk-pixbuf2.0-common:all <none> 2.38.1+dfsg-1
2020-08-15 11:25:02 status half-installed libgdk-pixbuf2.0-common:all 2.38.1+dfsg-1
2020-08-15 11:25:02 status unpacked libgdk-pixbuf2.0-common:all 2.38.1+dfsg-1
2020-08-15 11:25:03 install libgdk-pixbuf2.0-0:armhf <none> 2.38.1+dfsg-1
2020-08-15 11:25:03 status half-installed libgdk-pixbuf2.0-0:armhf 2.38.1+dfsg-1
2020-08-15 11:25:03 status unpacked libgdk-pixbuf2.0-0:armhf 2.38.1+dfsg-1
2020-08-15 11:25:03 install libthai-data:all <none> 0.1.28-2
2020-08-15 11:25:03 status half-installed libthai-data:all 0.1.28-2
2020-08-15 11:25:04 status unpacked libthai-data:all 0.1.28-2
2020-08-15 11:25:04 install libdatrie1:armhf <none> 0.2.12-2
2020-08-15 11:25:04 status half-installed libdatrie1:armhf 0.2.12-2
2020-08-15 11:25:04 status unpacked libdatrie1:armhf 0.2.12-2
2020-08-15 11:25:04 install libthai0:armhf <none> 0.1.28-2
2020-08-15 11:25:04 status half-installed libthai0:armhf 0.1.28-2
2020-08-15 11:25:04 status unpacked libthai0:armhf 0.1.28-2
2020-08-15 11:25:04 install libpango-1.0-0:armhf <none> 1.42.4-8~deb10u1
2020-08-15 11:25:04 status half-installed libpango-1.0-0:armhf 1.42.4-8~deb10u1
2020-08-15 11:25:05 status unpacked libpango-1.0-0:armhf 1.42.4-8~deb10u1
2020-08-15 11:25:05 install libpangoft2-1.0-0:armhf <none> 1.42.4-8~deb10u1
2020-08-15 11:25:05 status half-installed libpangoft2-1.0-0:armhf 1.42.4-8~deb10u1
2020-08-15 11:25:05 status unpacked libpangoft2-1.0-0:armhf 1.42.4-8~deb10u1
2020-08-15 11:25:05 install libpangocairo-1.0-0:armhf <none> 1.42.4-8~deb10u1
2020-08-15 11:25:05 status half-installed libpangocairo-1.0-0:armhf 1.42.4-8~deb10u1
2020-08-15 11:25:05 status unpacked libpangocairo-1.0-0:armhf 1.42.4-8~deb10u1
2020-08-15 11:25:05 install librsvg2-2:armhf <none> 2.44.10-2.1+rpi1
2020-08-15 11:25:05 status half-installed librsvg2-2:armhf 2.44.10-2.1+rpi1
2020-08-15 11:25:07 status unpacked librsvg2-2:armhf 2.44.10-2.1+rpi1
2020-08-15 11:25:07 install libshine3:armhf <none> 3.1.1-2+b1
2020-08-15 11:25:07 status half-installed libshine3:armhf 3.1.1-2+b1
2020-08-15 11:25:07 status unpacked libshine3:armhf 3.1.1-2+b1
2020-08-15 11:25:07 install libsnappy1v5:armhf <none> 1.1.7-1
2020-08-15 11:25:07 status half-installed libsnappy1v5:armhf 1.1.7-1
2020-08-15 11:25:08 status unpacked libsnappy1v5:armhf 1.1.7-1
2020-08-15 11:25:08 install libspeex1:armhf <none> 1.2~rc1.2-1+b2
2020-08-15 11:25:08 status half-installed libspeex1:armhf 1.2~rc1.2-1+b2
2020-08-15 11:25:09 status unpacked libspeex1:armhf 1.2~rc1.2-1+b2
2020-08-15 11:25:09 install libsoxr0:armhf <none> 0.1.2-3
2020-08-15 11:25:09 status half-installed libsoxr0:armhf 0.1.2-3
2020-08-15 11:25:09 status unpacked libsoxr0:armhf 0.1.2-3
2020-08-15 11:25:09 install libswresample3:armhf <none> 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:09 status half-installed libswresample3:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:09 status unpacked libswresample3:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:25:09 install libogg0:armhf <none> 1.3.2-1+b2
2020-08-15 11:25:09 status half-installed libogg0:armhf 1.3.2-1+b2
2020-08-15 11:25:09 status unpacked libogg0:armhf 1.3.2-1+b2
2020-08-15 11:25:10 install libtheora0:armhf <none> 1.1.1+dfsg.1-15
2020-08-15 11:25:10 status half-installed libtheora0:armhf 1.1.1+dfsg.1-15
2020-08-15 11:25:10 status unpacked libtheora0:armhf 1.1.1+dfsg.1-15
2020-08-15 11:25:10 install libtwolame0:armhf <none> 0.3.13-4
2020-08-15 11:25:10 status half-installed libtwolame0:armhf 0.3.13-4
2020-08-15 11:25:10 status unpacked libtwolame0:armhf 0.3.13-4
2020-08-15 11:25:10 install libvorbis0a:armhf <none> 1.3.6-2
2020-08-15 11:25:10 status half-installed libvorbis0a:armhf 1.3.6-2
2020-08-15 11:25:10 status unpacked libvorbis0a:armhf 1.3.6-2
2020-08-15 11:25:11 install libvorbisenc2:armhf <none> 1.3.6-2
2020-08-15 11:25:11 status half-installed libvorbisenc2:armhf 1.3.6-2
2020-08-15 11:25:11 status unpacked libvorbisenc2:armhf 1.3.6-2
2020-08-15 11:25:11 install libvpx5:armhf <none> 1.7.0-3+deb10u1
2020-08-15 11:25:11 status half-installed libvpx5:armhf 1.7.0-3+deb10u1
2020-08-15 11:25:11 status unpacked libvpx5:armhf 1.7.0-3+deb10u1
2020-08-15 11:25:12 install libwavpack1:armhf <none> 5.1.0-6
2020-08-15 11:25:12 status half-installed libwavpack1:armhf 5.1.0-6
2020-08-15 11:25:12 status unpacked libwavpack1:armhf 5.1.0-6
2020-08-15 11:25:12 install libwebpmux3:armhf <none> 0.6.1-2
2020-08-15 11:25:12 status half-installed libwebpmux3:armhf 0.6.1-2
2020-08-15 11:25:13 status unpacked libwebpmux3:armhf 0.6.1-2
2020-08-15 11:25:13 install libx264-155:armhf <none> 2:0.155.2917+git0a84d98-2+rpi1
2020-08-15 11:25:13 status half-installed libx264-155:armhf 2:0.155.2917+git0a84d98-2+rpi1
2020-08-15 11:25:15 status unpacked libx264-155:armhf 2:0.155.2917+git0a84d98-2+rpi1
2020-08-15 11:25:16 install libx265-165:armhf <none> 2.9-4
2020-08-15 11:25:16 status half-installed libx265-165:armhf 2.9-4
2020-08-15 11:25:17 status unpacked libx265-165:armhf 2.9-4
2020-08-15 11:25:17 install libxvidcore4:armhf <none> 2:1.3.5-1
2020-08-15 11:25:17 status half-installed libxvidcore4:armhf 2:1.3.5-1
2020-08-15 11:25:18 status unpacked libxvidcore4:armhf 2:1.3.5-1
2020-08-15 11:25:18 install libzvbi-common:all <none> 0.2.35-16
2020-08-15 11:25:18 status half-installed libzvbi-common:all 0.2.35-16
2020-08-15 11:25:18 status unpacked libzvbi-common:all 0.2.35-16
2020-08-15 11:25:18 install libzvbi0:armhf <none> 0.2.35-16
2020-08-15 11:25:18 status half-installed libzvbi0:armhf 0.2.35-16
2020-08-15 11:25:18 status unpacked libzvbi0:armhf 0.2.35-16
